Date,Open,High,Low,Close,Volume,AveragePrice,TrueRange,PriceAction,HighestHigh,LowestLow,SMA,EMA,EMA26,UpMove,DownMove,PlusDM,MinusDI,EMADM,ATR,PercK,PercD
19-08-2004,50,52.03,47.98,50.17,44703800,50.005,4.05,0.25,,,,,,,,,,,,,
20-08-2004,50.505,54.54,50.25,54.155,22857200,52.395,4.29,3.585,,,,,,2.51,-2.27,2.51,0,,,,
23-08-2004,55.375,56.74,54.525,54.7,18274400,55.6325,2.215,-1.27,,,,,,2.2,-4.275,2.2,0,,,,
24-08-2004,55.62,55.8,51.785,52.435,15262600,53.7925,4.015,-2.95,,,,,,-0.94,2.74,0,2.74,,,,
25-08-2004,52.48,54,51.94,53,9197800,52.97,2.06,0.29,,,,,,-1.8,-0.155,0,0,,,,
26-08-2004,52.475,53.975,52.33,53.955,7102000,53.1525,1.645,1.5425,,,,,,-0.025,-0.39,0,0,,,,
27-08-2004,54.05,54.31,52.845,53.075,6218000,53.5775,1.465,-0.99,,,,,,0.335,-0.515,0.335,0,,,,
30-08-2004,52.64,52.745,51.005,51.005,5202000,51.875,1.74,-1.6875,,,,,,-1.565,1.84,0,1.84,,,,
31-08-2004,51.15,51.855,51.08,51.185,4922800,51.4675,0.775,-0.265,,,,,,-0.89,-0.075,0,0,,,,
01-09-2004,51.35,51.485,49.835,50.125,9147400,50.66,1.65,-1.1475,,,,,,-0.37,1.245,0,1.245,,,,
02-09-2004,49.595,51.185,49.47,50.755,15133800,50.3275,1.715,1.0075,,,,,,-0.3,0.365,0,0.365,,,,
03-09-2004,50.475,50.87,49.66,50.005,5157600,50.265,1.21,-0.495,,,,,,-0.315,-0.19,0,0,,,,
07-09-2004,50.505,51,49.805,50.79,5853400,50.4025,1.195,0.53,,,,,,0.13,-0.145,0.13,0,,,,
08-09-2004,50.37,51.515,50.25,51.15,4990600,50.8825,1.265,0.6575,56.74,47.98,51.89321429,51.79411905,,0.515,-0.445,0.515,0,,2.092142857,9.967458655,
09-09-2004,51.265,51.355,50.5,51.155,4065800,50.9275,0.855,0.1725,56.74,49.47,51.96357143,51.70890317,,-0.16,-0.25,0,0,,2.00377551,9.873160384,
10-09-2004,50.8,53.28,50.65,52.665,8707600,51.965,2.63,1.6325,56.74,49.47,51.85714286,51.83638275,,1.925,-0.15,1.925,0,,2.048505831,7.394637753,9.078418931
13-09-2004,53.315,54.205,53.23,53.75,7852000,53.7175,0.975,0.25,55.8,49.47,51.78928571,52.09153172,,0.925,-2.58,0.925,0,,1.971826843,3.690369037,6.986055725
14-09-2004,53.725,56,53.395,55.745,10839800,54.6975,2.605,2.0575,54.31,49.47,52.02571429,52.57866082,,1.795,-0.165,1.795,0,,2.017053497,-2.746280082,2.779575569
15-09-2004,55.28,57.115,55.1,56,10723800,56.1075,2.015,0.2525,56,49.47,52.24,53.03483938,,1.115,-1.705,1.115,0,,2.016906819,0,0.314696318
16-09-2004,56.17,57.9,55.825,56.985,9275600,56.8625,2.075,0.53,57.115,49.47,52.45642857,53.56152746,,0.785,-0.725,0.785,0,,2.021056332,0.229742865,-0.838845739
17-09-2004,57.21,58.745,56.775,58.745,9482000,57.76,1.97,1.7525,57.9,49.47,52.86142857,54.25265713,,0.845,-0.95,0.845,0,,2.017409451,-1.504964602,-0.425073912
20-09-2004,58.475,60.8,58.385,59.68,10639400,59.5925,2.415,0.69,58.745,49.47,53.48107143,54.97630285,,2.055,-1.61,2.055,0,,2.045808776,-1.610541728,-0.961921155
